Lake,County,Nearby town,Size (acres),Littoral zone (acres),Max depth (ft),Water clarity (ft),MNDNR Code,Notes
Twin,Todd,Grey Eagle,314.0,299.0,43.0,1.5,,
Twin,Wright,Silver Creek,62.0,62.0,,5.46,,
Twin,Wright,South Haven,872.0,244.0,97.0,,,
Twin Pond,Stearns,Sauk Centre,11.0,11.0,17.0,10.0,,
Two Island,Cook,Grand Marais,731.0,702.0,27.0,9.0,,
Two Rivers,Stearns,Holdingford,575.0,201.0,63.0,5.2,,
Typo,Isanti,Stacy,295.0,295.0,6.0,1.5,,
Unger Marsh Pond,Chippewa,Wegdahl,122.0,122.0,8.0,3.072,,
Uhl,Wright,Hanover,85.0,85.0,,2.01,,
Uhlenkolts,Stearns,New Munich,258.0,,18.0,9.5,,
Union,Polk,Erskine,734.0,265.0,83.0,10.2,,
Union,Rice,Little Chicago,403.0,403.0,10.0,3.6,,
Union,Wright,South Haven,92.93,27.4,35.0,,,
Bottle (Upper),Hubbard,Dorset,465.0,176.0,55.0,9.0,,
Unnamed Oxbow,Aitkin,Aitkin,21.0,21.0,13.0,11.8,,
Unnamed Oxbow,Aitkin,Aitkin,40.0,40.0,12.0,2.6,,
Unnamed Oxbow,Aitkin,Hassman,18.0,18.0,4.0,,,
Unnamed Pit,St Louis,Ridge,22.0,22.0,72.0,30.0,,
Upper Cormorant,Becker,Lake Park,856.0,471.0,29.0,3.9,,
Upper Dean,Crow Wing,Emily,285.0,214.0,24.0,6.5,,
Upper Gull,Cass,Nisswa,371.0,154.0,54.0,9.5,,
Upper Lasalle,Clearwater,Lake Itasca,221.0,40.0,48.0,8.0,,
Upper Pine,Pine,Finlayson,210.0,210.0,15.0,3.2,,
Upper Panasa,Itasca,Calumet,147.77,147.77,13.0,3.8,,
Upper Rattling Springs,Goodhue,Etter,27.0,27.0,7.0,6.0,,
Red (Upper),Beltrami,Waskish,107832.0,,18.0,,,
Upper Rice,Clearwater,Shevlin,1689.0,1689.0,13.0,,,
Upper Twin Pond,St. Louis,Duluth,1.94,7.7,9.0,5.0,,
US Lock & Dam Pool 1,Hennepin,Minneapolis,464.5,464.5,9.0,2.0,,
US Lock & Dam Pool 2,Dakota,Hastings,4665.0,4665.0,28.0,1.0,,
US Lock & Dam Pool 5,Goodhue,Kellogg,3574.0,3574.0,17.0,6.0,,
US Lock & Dam Pool 5A,Winona,Goodview,1263.0,1263.0,12.0,6.0,,
US Lock & Dam Pool 6,Winona,Goodview,397.0,397.0,16.0,6.0,,
US Lock & Dam Pool 9,Houston,Reno,33.0,33.0,14.0,6.0,,
Vadnais (east),Ramsey,Vadnais Heights,394.0,138.0,58.0,8.0,,
Vadnais (west),Ramsey,Vadnais Heights,216.0,216.0,9.0,2.0,,
Vanduse,Aitkin,Palisade,230.0,189.0,27.0,,,
Varner,Wright,Buffalo,100.0,100.0,,1.64,,
Vermilion,St. Louis,Tower,40557.0,15006.0,76.0,,,
Vera,Lake,Ely,245.0,86.0,55.0,14.0,,
Vermillion,Cass,Remer,397.0,230.0,27.0,8.0,,
Vermont,Douglas,Miltona,309.0,207.0,59.0,18.0,,
Vicki,Benton,Rice,,,,,,
Victoria,Douglas,Alexandria,419.0,122.0,60.0,12.3,,
Villard,Pope,Villard,536.0,488.0,16.0,2.8,,
Vinegar,Morrison,Platte,9.18,9.18,7.0,4.0,,
Virginia,Carver,Victoria,110.0,30.0,34.0,10.5,,
Volney,Le Sueur,Le Center,283.0,130.0,67.0,15.0,,
Vos,Stearns,Saint Anthony,76.0,76.0,10.0,6.0,,
Wabana,Itasca,Grand Rapids,2215.0,785.0,115.0,16.0,,
Wabedo,Cass,Longville,1185.0,295.0,95.0,13.5,,
Waboose,Becker,Ponsford,232.0,231.5,14.0,11.0,,
Waconia,Carver,Waconia,2996.0,1660.0,37.0,4.0,,
Wacouta Pond,Goodhue,Wacouta Beach,27.5,27.5,12.0,6.0,,
Wadena City Pond,Wadena,Wadena,12.1,12.0,12.0,6.0,,
Wagner,Wright,Hanover,139.0,139.0,,5.22,,
Wagonga,Kandiyohi,Willmar,1664.0,1664.0,15.0,1.9,,
Wakefield,Ramsey,Maplewood,22.5,22.5,9.0,4.92,,
Walker,Otter Tail,Ottertail,540.0,342.0,29.0,4.7,,
Wall,Otter Tail,Fergus Falls,683.0,229.0,34.0,5.5,,
Warner,Stearns,Clearwater,37.43,12.0,38.0,8.5,,
Warren Pond,Cottonwood,Windom,3.4,3.0,12.0,7.0,,
Wanda Miller,Hennepin,Bloomington,17.0,17.0,6.0,5.0,,
Washburn,Cass,Outing,1554.0,748.0,111.0,12.5,,
Washington,Le Sueur,Madison Lake,1487.0,783.0,51.0,2.2,,
Washington,Meeker,Darwin,2639.0,2454.0,17.0,3.9,,
Washington,Wright,Buffalo,155.46,157.8,21.0,2.89,,
Wassermann,Carver,Victoria,153.0,112.0,41.0,2.0,,
Wasson,Itasca,Taconite,415.0,208.0,67.0,14.0,,
Watab,Stearns,St. Joseph,94.0,,54.0,,,
Waukenabo,Aitkin,Palisade,644.0,292.0,38.0,5.5,,
Waverly,Wright,Waverly,485.0,141.0,71.0,3.0,,
Wax,Cass,Inguadona,91.0,91.0,5.0,3.0,,
Weaver,Hennepin,Maple Grove,149.0,76.0,57.0,3.4,,
Webb,Cass,Hackensack,754.0,278.0,84.0,16.0,,
Wellner-Hageman Reservoir,Brown,Dotson,75.0,0.0,24.0,,,
Welter Bros. Pond,Wright,Saint Michael,,,,,,
Wensman Marsh,Stearns,Sauk Centre,17.0,17.0,3.0,0.0,,
West,Wright,Silver Creek,118.0,118.0,,4.89,,
West Battle,Otter Tail,Battle Lake,5624.0,2496.0,108.0,17.5,,
West Chub,Lake,Isabella,114.0,114.0,12.0,7.5,,
West Crooked,Hubbard,Nevis,279.0,142.0,50.0,16.0,,
West Gemini,Stearns,Collegeville,22.0,22.0,14.0,4.0,,
West Hanson,Meeker,Acton,91.0,91.0,,2.1,,
West Hunter,Sherburne,Crown,61.32,59.96,6.0,6.0,,
West Jefferson,Le Sueur,Cleveland,441.0,348.0,24.0,1.5,,
West Lake Sylvia,Wright,South Haven,904.37,244.0,97.0,17.0,,
West Leaf,Otter Tail,Ottertail,684.0,256.0,55.0,9.9,,
West Lost,Otter Tail,Underwood,723.0,692.0,16.0,9.0,,
West McDonald,Otter Tail,Vergas,573.0,183.0,62.0,13.6,,
West Murray Island,Stearns,Kimball,36.0,36.0,21.0,3.3,,
West Nelson,Todd,Motley,,,7.0,,,
West Pipe,Cook,Lutsen,15.03,15.03,6.0,5.0,,
West Pope,Cook,Grand Marais,71.0,71.0,14.0,6.2,,
West Sturgeon,St. Louis,Chisholm,114.0,42.0,35.0,5.0,,
West Toqua,Big Stone,Graceville,322.0,322.0,4.5,0.3,,
West Two Rivers Reservoir,St. Louis,Mountain Iron,966.53,347.0,27.0,17.0,,
West Twin,Lyon,Florence,232.0,232.0,10.0,2.8,,
West Twin,Morrison,Flensburg,29.0,29.0,,8.2,,
West Twin,Wright,Silver Creek,28.0,28.0,12.0,2.95,,
Westman,Morrison,Lincoln,,,,,,
Whale,Cook,Grand Marais,21.0,21.0,10.0,7.5,,
Whaletail,Hennepin,St Bonifacius,558.0,552.0,25.0,1.9,,
White,Wright,Albion Center,135.0,135.0,,5.02,,
White Bear,Morrison,Pine Center,39.0,39.0,,9.28,,
White Bear,Ramsey / Washington,White Bear Lake,2416.0,1314.0,83.0,10.5,,
White Earth,Becker,White Earth,2079.0,599.0,120.0,14.5,,
White Elk,Aitkin,Swatara,854.0,,4.0,4.0,,
White Iron,St. Louis,Ely,3429.0,1603.0,47.0,4.0,,
White Oak,Itasca,Zemple,951.0,951.0,9.0,1.6,,
White Pine,Cook,Lutsen,342.0,342.0,10.0,4.1,,
White Swan,Itasca,Bigfork,158.0,119.0,19.0,10.0,,
Whiteface,St. Louis,Markham,5600.0,4480.0,35.0,5.1,,
Whitefish,Crow Wing,Cross Lake,7370.0,2713.0,138.0,9.0,,
Whitefish,Crow Wing,Garrison,696.0,428.0,62.0,13.5,,
Whitefish,Itasca,Wirt,563.0,261.0,51.0,8.0,,
Whitefish,Lake,Tofte,339.0,191.0,49.0,22.0,,
Whitefish,Polk,Fosston,226.0,183.0,18.0,3.8,,
Whitewater,St. Louis,Hoyt Lakes,1210.0,564.0,73.0,12.0,,
Whitney,Meeker,Crow River,66.0,66.0,,3.9,,
Widmark,Wright,South Haven,18.0,18.0,,5.94,,
Wigelia Pond,Morrison,Buckman,,,,,,
Wilcox,Meeker,Crow River,159.0,159.0,,2.0,,
Wildcat,Goodhue,Etter,50.0,50.0,18.0,7.5,,
Wild Rice,St. Louis,Duluth,2372.0,2372.0,11.0,3.0,,
Wilhelm,Wright,Hanover,108.0,108.0,14.0,1.87,,
Wilkins,Aitkin,Palisade,372.0,106.0,39.0,,,
Willima,Wright,Annandale,90.0,90.0,,4.99,,
Willow,Stearns,Kimball,186.0,186.0,4.0,3.0,,
Willow Pond,Morrison,Morrill,,,,,,
Willow Reservoir 4,Olmsted,Rochester,39.0,30.9,24.0,3.0,,
Willow Reservoir 6A,Olmsted,Rochester,70.0,62.0,22.0,11.0,,
Wilmes,Washington,Woodbury,21.0,21.0,18.0,8.0,,
Wilson,Lake,Schroeder,622.0,229.5,53.0,17.0,,
Wilson,Murray,Lake Wilson,170.0,170.0,8.0,1.8,,
Wimar,Otter Tail,Frazee,275.0,107.0,58.0,7.0,,
Wimmer Pond,Stearns,Collegeville,11.0,11.0,8.0,6.0,,
Winchester,St. Louis,Orr,360.0,54.0,50.0,7.5,,
Windigo,Beltrami,Bemidji,199.0,129.0,15.0,6.0,,
Windy,Lake,Isabella,450.0,199.0,39.0,7.5,,
Winnibigoshish,Cass,Deer River,58544.0,18904.0,70.0,,,
Winona,Winona,Winona,307.0,278.0,33.0,3.3,,
Winsted,McLeod,Winsted,376.0,376.0,12.0,2.1,,
Wirth,Hennepin,Golden Valley,38.0,23.0,25.0,3.5,,
Wita,Blue Earth,Mankato,474.0,474.0,6.0,2.0,,
Witness,Lake,Ely,40.58,36.0,19.0,10.0,,
Wojtowicz Pond,Scandia,Washington,14.0,14.0,8.0,4.0,,
Wolf,Becker,Wolf Lake,1445.0,1445.0,16.0,,,
Wolf,Crow Wing,Crosby,190.0,190.0,7.0,6.0,,
Wolf,Meeker,Dassel,262.36,262.36,11.0,3.0,,
Wolf,St. Louis,Ely,299.0,145.0,28.0,10.5,,
Wolf,Stearns,Melrose,23.0,23.0,21.0,4.0,,
Wolfe,Wright,Rassat,,,,,,
Wolfe Park,Hennepin,Saint Louis Park,3.28,3.0,25.0,2.6,,
Woman,Cass,Longville,5496.0,1953.0,67.0,9.8,,
Wood,Hennepin,Richfield,42.0,42.0,15.0,1.35,,
Wood (Marguerite),Lyon,Russell,372.8,367.0,14.0,7.0,,
Wood,Sherburne,Big Lake,34.0,34.0,,5.87,,
Wood,Yellow Medicine,Wood Lake,432.0,432.0,9.0,2.75,,
Wood Park,Dakota,Burnsville,13.26,13.26,14.0,4.32,,
Wood Pile,Washington,Duluth Junction,11.0,11.0,17.0,5.28,,
Worm,Grant,Elbow Lake,345.0,345.0,5.0,2.0,,
Wrens Slough,Wright,Saint Michael,29.0,29.0,,3.68,,
Wynne,St. Louis,Aurora,278.0,70.0,52.0,6.0,,
Xander,Winona,Goodview,82.0,82.0,102.0,33.0,,
Yaeger,Wright,Waverly,110.98,79.4,28.0,2.26,,
Yankton,Lyon,Balaton,387.0,387.0,8.0,,,
Yates,St. Louis,Kinney,16.0,3.0,50.0,10.0,,
Yawkey Mine,Crow Wing,Crosby,14.1,2.1,143.0,27.0,,
Youth Fishing,Hennepin,Bloomington,5.79,5.29,15.0,6.9,,
Zabolio,Houston,Reno,18.0,18.0,8.0,6.0,,
Zanders,Brown,Stark,85.0,85.0,13.0,6.5,,
Zebulon Pike,Morrison,Gregory,1453.0,1453.0,47.0,5.6,,
Zenith,Cook,Forest Center,24.0,24.0,22.0,13.056,,
Zephyr,Cook,Prairie Portage,122.0,95.0,40.0,6.0,,
Zimmer Pond,Stearns,Collegeville,3.0,3.0,3.0,1.0,,
Zimmerman,Ramsey,Roseville,15.0,15.0,28.0,16.0,,
Zimmy,Itasca,Suomi,14.0,14.0,96.0,8.0,,
Zoo,Cook,Grand Marais,90.0,80.0,26.0,6.0,,
Zumbra,Carver,Victoria,162.0,89.0,58.0,7.25,,
Zumwalde,Stearns,Richmond,128.11,105.0,23.0,2.3,,
